userId,lang_count,counts_details,counts_pictures,counts_kisses,whazzup_len,cluster_4,cluster_5
5332747ccb6da1783a8b9e01,5,0.9,3,214,90,0,0
53330b3e170ba0674c8b6736,1,0.62,3,168,20,0,0
533357c5140ba05a5d8b61eb,1,0.58,4,87,39,2,2
5335b41eca6da1428d8b5b8e,1,0.27,6,1054,22,3,1
533842f5c96da1c5298b50d2,1,1.0,7,133,18,2,0
5339a1821b0ba0b16a8b508f,1,0.92,7,263,20,0,0
533bfd93190ba0bf6d8b5084,1,0.54,3,240,2,0,0
533c4de4150ba0dc428b46a5,1,1.0,5,17,10,2,2
533d9cb0c46da1de778b7d6e,1,0.77,4,864,45,1,1
533ef9f61b0ba0a41e8bbd99,2,0.73,4,164,66,0,0
53403df91a0ba0cc308b8454,1,0.62,10,256,2,0,0
53405895180ba036138b5505,1,0.42,1,231,55,0,0
53409613170ba00e338b6536,1,0.0,4,0,0,2,2
53418a7c160ba0c0128bba1c,1,0.58,1,63,0,2,2
5341b970170ba0871a8b5794,2,0.3,0,331,9,0,3
5342c2f31a0ba0f30f8b525b,1,0.88,11,1222,17,3,4
5343d3a5c66da1ad2f42f0ca,1,0.81,1,47,20,2,2
534486a2150ba0336d8bb067,1,0.92,3,26,20,2,2
53454a1a1a0ba0f83d8b49f5,1,0.4,4,8,74,2,2
5347fb3a160ba053708ba680,1,0.92,4,58,31,2,2
53484e1a190ba09b728b5ecc,1,0.96,6,8,0,2,2
53495d59c96da15e0c8b5d0c,1,1.0,8,144,51,2,0
534999be190ba0db398b4ab8,1,0.81,2,3,42,2,2
534b76fbc96da186578b7ad9,1,0.62,3,154,27,2,0
534be66e1b0ba0a6288b4cea,1,0.92,9,413,89,0,3
534c025e150ba026308b53bc,4,0.9,3,120,0,2,0
534c070ccb6da1dd398b5253,1,1.0,7,157,16,2,0
534c450fca6da11e9d8b9c74,1,0.0,0,86,0,2,2
534e2703170ba0d65b8b47f1,1,0.65,7,954,21,1,1
534e73e6c96da150928b591c,2,0.81,4,826,58,1,1
535045fa160ba008758b4698,1,0.77,3,166,2,0,0
535066c91b0ba0804b8b5d62,1,0.42,6,392,42,0,3
535068a4150ba075118b506c,1,0.12,4,297,0,0,3
535136e7180ba023778b7ed3,1,0.46,1,28,52,2,2
5351b02b190ba043558b4b2f,1,0.5,2,194,0,0,0
5352ce38c76da1ef4d8b45be,1,0.0,5,190,4,0,0
53557504180ba064738b4ac8,1,0.0,1,0,0,2,2
53557e1e150ba0de388b5cf9,3,0.62,9,912,9,1,1
535585c9140ba0be2a8b4ec4,2,0.9,10,282,62,0,0
5356c858c56da11d5c8b45f8,1,0.73,5,53,0,2,2
5356f6f2ca6da1a5798b4787,1,0.23,1,661,0,1,1
535704df190ba049058b4ad1,1,0.88,4,384,67,0,3
53581ab4140ba04f4a8b4a30,1,0.85,6,827,90,1,1
535a862c1b0ba0d15b8b9a39,1,0.81,6,1164,49,3,4
535bbf0c150ba0b9298b7115,1,0.65,6,234,74,0,0
535c9b2f190ba04c408b7cc1,1,0.8,3,0,0,2,2
535d34a9c96da1e8848b46d2,1,0.62,3,572,2,1,3
535d4934c76da18c188b456d,1,0.77,5,22,40,2,2
